player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Daniel Wise,,DT,,,,,,,,,,
Patrick Jenkins,,DL,,,,,,,,,,
Marvin Wilson,,DT,,,,,,,,,,
Ryan Brown,,DE,,,,,,,,,,
Cameron Malveaux,,DE,,,,,,,,,,
Rodney Gunter,,DE,,,,,,,,,,
Devin Phillips,,DL,,,,,,,,,,
Willington Previlon,,DT,,,,,,,,,,
McKinnley Jackson,SF,DL,,,,,,,,,,
Allen Bailey,,DE,,,,,,,,,,
Justin Jones,,DT,,,,,,,,,,
Elijah Chatman,,DT,,,,,,,,,,
Will Miles,,DT,,,,,,,,,,
Chris Smith,,DE,,,,,,,,,,
Sterling Johnson,,DT,,,,,,,,,,
Jabaal Sheard,,DE,,,,,,,,,,
Dean Lowry,NYG,DE,,,,,,,,,,
Kevin Strong,,DE,,,,,,,,,,
Roderick Perry,,DT,,,,,,,,,,
Anthony Winbush,,DE,,,,,,,,,,
Damion Square,CIN,DT,,,,,,,,,,
